# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar 11 09:24:27 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag >0
# CONSTRAINT:  and disc_facility like '%K2%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN tic_id:         TIC ID
# COLUMN gaia_id:        GAIA ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
K2-10 b,K2-10,TIC 363573185,Gaia DR2 3798690151434945280,1,1,1,Transit,2015,K2,Published Confirmed,0,<a refstr=VAN_EYLEN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...56V/abstract target=ref>Van Eylen et al. 2016</a>,19.30440000,0.00120000,-0.00120000,0,,,,,3.840,0.350,-0.340,0,0.343,0.031,-0.030,0,27.00000,17.00000,-16.00000,0,0.08495,0.05349,-0.05034,0,Mass,0.310000,0.160000,-0.180000,0,,,,,,,,,0,<a refstr=VAN_EYLEN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...56V/abstract target=ref>Van Eylen et al. 2016</a>,,5620.00,70.00,-70.00,0,0.98,0.08,-0.08,0,0.92,0.05,-0.05,0,-0.070,0.070,-0.070,0,[Fe/H],4.50,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h28m29.20s,172.1216476,+01d41m26.24s,1.6906217,272.3600000,3.1120000,-3.0440000,12.4290000,0.0690000,-0.0690000,10.6450000,0.0210000,-0.0210000,12.2156000,0.0002400,-0.0002400,2016-02-10,2016-03,2016-02-11
K2-100 b,K2-100,TIC 307733361,Gaia DR2 664337230586013312,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..698B/abstract target=ref>Barrag&aacute;n et al. 2019</a>,1.67390350,0.00000040,-0.00000040,0,0.030100,0.001400,-0.001400,0,3.880,0.160,-0.160,0,0.346,0.014,-0.014,0,21.80000,6.20000,-6.20000,0,0.06859,0.01951,-0.01951,0,Mass,0.000000,,,0,1915.00,178.00,-165.00,0,1841,41,-41,0,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..698B/abstract target=ref>Barrag&aacute;n et al. 2019</a>,G0 V,5945.00,110.00,-110.00,0,1.24,0.05,-0.05,0,1.15,0.05,-0.05,0,0.220,0.090,-0.090,0,[Fe/H],4.33,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m24.26s,129.6010863,+20d06m21.63s,20.1060074,188.9590000,2.4710000,-2.4100000,10.6510000,0.0120000,-0.0120000,9.1820000,0.0180000,-0.0180000,10.4053000,0.0004060,-0.0004060,2021-07-12,2019-11,2021-07-12
K2-101 b,K2-101,TIC 175265494,Gaia DR2 661004400386393984,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,14.67624290,0.00002010,-0.00002030,0,0.112400,0.009500,-0.023900,0,2.000,0.140,-0.070,0,0.178,0.012,-0.006,0,,,,,,,,,,,,,,,,,,618,9,-25,0,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,4927.00,47.00,-46.00,0,0.76,0.01,-0.01,0,0.82,0.02,-0.03,0,0.070,0.070,-0.070,0,[Fe/H],4.59,0.01,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h41m22.54s,130.3439097,+18d56m01.75s,18.9338205,188.3300000,2.1280000,-2.0820000,12.8920000,0.1140000,-0.1140000,10.5360000,0.0190000,-0.0190000,12.6619000,0.0004700,-0.0004700,2021-09-20,2022-01,2021-09-20
K2-102 b,K2-102,TIC 175262071,Gaia DR2 661310756111835392,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,9.91561500,0.00120900,-0.00119500,0,,,,,1.300,0.100,-0.100,0,0.116,0.009,-0.009,0,,,,,,,,,,0.100000,0.160000,-0.070000,0,,,,,,,,,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,,4695.00,50.00,-50.00,0,0.71,0.03,-0.03,0,0.77,0.06,-0.06,0,0.140,0.040,-0.040,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m13.41s,130.0558953,+19d46m43.51s,19.7787519,188.1750000,2.0650000,-2.0220000,13.0830000,0.1030000,-0.1030000,10.6400000,0.0200000,-0.0200000,12.8466000,0.0006020,-0.0006020,2016-12-20,2017-02,2016-12-21
K2-104 b,K2-104,TIC 175194958,Gaia DR2 664292459846946560,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,1.97419540,0.00000240,-0.00000240,0,0.024200,0.002200,-0.005500,0,1.790,0.100,-0.060,0,0.160,0.009,-0.005,0,,,,,,,,,,,,,,,,,,798,9,-39,0,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,3712.00,54.00,-76.00,0,0.48,0.01,-0.01,0,0.51,0.02,-0.02,0,0.180,0.090,-0.100,0,[Fe/H],4.78,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m32.80s,129.6366594,+19d46m25.39s,19.7737202,189.2890000,3.9960000,-3.8370000,15.9890000,0.2060000,-0.2060000,12.0140000,0.0210000,-0.0210000,15.3955000,0.0006060,-0.0006060,2021-09-20,2022-01,2021-09-20
K2-105 b,K2-105,TIC 6892385,Gaia DR2 651907079835937280,1,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,8.26699280,0.00000700,-0.00000670,0,0.083300,0.003900,-0.011600,0,3.590,0.110,-0.070,0,0.320,0.010,-0.006,0,,,,,,,,,,,,,,,,,,928,1,-23,0,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,5636.00,49.00,-52.00,0,0.97,0.01,-0.01,0,1.05,0.02,-0.02,0,0.230,0.040,-0.030,0,[Fe/H],4.49,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m40.87s,125.4202985,+13d29m51.04s,13.4975122,197.9890000,1.5550000,-1.5300000,11.7520000,0.0320000,-0.0320000,10.0910000,0.0190000,-0.0190000,11.7124000,0.0003080,-0.0003080,2021-09-20,2022-01,2021-09-20
K2-107 b,K2-107,TIC 414843476,Gaia DR2 4081684580199958528,1,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,3.31395900,0.00002400,-0.00002400,0,0.047500,0.000600,-0.000600,0,15.980,0.550,-0.550,0,1.426,0.049,-0.049,0,,,,,,,,,,,,,,,,,,1649,39,-39,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,6061.00,96.00,-96.00,0,1.81,0.06,-0.06,0,1.30,0.05,-0.05,0,0.140,0.060,-0.060,0,[Fe/H],4.04,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m56.49s,284.9853550,-22d17m36.31s,-22.2934206,685.2000000,20.5020000,-19.3640000,13.0120000,0.1030000,-0.1030000,11.2100000,0.0210000,-0.0210000,12.7669000,0.0003380,-0.0003380,2018-10-24,2018-12,2018-10-26
K2-108 b,K2-108,TIC 27635334,Gaia DR2 655794055300531456,1,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,4.73399900,0.00022100,-0.00022700,0,0.058100,0.000900,-0.000900,0,5.330,0.210,-0.210,0,0.476,0.019,-0.019,0,,,,,,,,,,,,,,,,,,1360,29,-29,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,5599.00,87.00,-87.00,0,1.76,0.04,-0.04,0,1.17,0.06,-0.06,0,0.360,0.050,-0.050,0,[Fe/H],4.02,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h13m31.64s,123.3818484,+16d25m10.26s,16.4195160,477.2950000,10.0940000,-9.6920000,12.3390000,0.0920000,-0.0920000,10.5610000,0.0170000,-0.0170000,12.1704000,0.0002010,-0.0002010,2018-10-24,2018-12,2018-10-26
K2-11 b,K2-11,TIC 301609547,Gaia DR2 3810535361999701376,1,1,1,Transit,2015,K2,Published Confirmed,0,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,39.93767000,0.23229000,-0.23229000,0,0.225700,0.014300,-0.014300,0,7.550,9.330,-9.330,0,0.674,0.832,-0.832,0,,,,,,,,,,,,,,,,,,734,253,-253,0,0,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,,5433.00,49.00,-144.00,0,5.15,0.20,-4.39,0,1.35,0.04,-0.56,0,-0.120,0.010,-0.170,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h16m10.04s,169.0418328,+01d59m12.06s,1.9866832,329.3090000,2.6820000,-2.6410000,13.4090000,0.1030000,-0.1030000,11.3470000,0.0220000,-0.0220000,13.1501000,0.0002790,-0.0002790,2015-07-13,2015-08,2015-07-16
K2-110 b,K2-110,TIC 287333762,Gaia DR2 3613175223837135616,1,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,13.86375000,0.00026000,-0.00026000,0,0.102070,0.000830,-0.000830,0,2.592,0.098,-0.097,0,0.231,0.009,-0.009,0,15.90000,2.70000,-2.70000,0,0.05003,0.00850,-0.00850,0,Mass,0.130000,,,1,27.70,2.00,-2.00,0,638,11,-11,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5010.00,50.00,-50.00,0,0.71,0.02,-0.02,0,0.74,0.02,-0.02,0,-0.340,0.030,-0.030,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h49m23.94s,207.3497402,-12d17m05.71s,-12.2849182,116.4740000,0.4310000,-0.4270000,11.9850000,0.0460000,-0.0460000,9.6070000,0.0240000,-0.0240000,11.6627000,0.0002400,-0.0002400,2023-04-17,2023-04,2023-04-17
K2-111 b,K2-111,TIC 14227229,Gaia DR2 53006669599267328,1,1,2,Transit,2017,K2,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,5.35180000,0.00040000,-0.00040000,0,0.056500,0.000450,-0.000450,0,1.820,0.110,-0.090,0,0.162,0.010,-0.008,0,5.58000,0.74000,-0.73000,0,0.01756,0.00233,-0.00230,0,Mass,0.100000,,,1,490.00,30.00,-30.00,0,1309,19,-19,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5775.00,70.00,-70.00,0,1.25,0.02,-0.02,0,0.84,0.02,-0.02,0,-0.460,0.050,-0.050,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h59m33.67s,59.8903081,+21d17m54.69s,21.2985263,200.3940000,2.7630000,-2.6900000,11.1300000,0.0340000,-0.0340000,9.3770000,0.0210000,-0.0210000,10.9294000,0.0006210,-0.0006210,2023-04-17,2023-04,2023-04-17
K2-113 b,K2-113,TIC 376939759,Gaia DR2 2564787622577189760,1,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,5.81768500,0.00004100,-0.00004100,0,0.064200,0.000900,-0.000900,0,12.140,0.350,-0.350,0,1.083,0.031,-0.031,0,,,,,,,,,,,,,,,,,,1098,23,-23,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,5660.00,87.00,-87.00,0,1.24,0.03,-0.03,0,1.04,0.04,-0.04,0,0.270,0.060,-0.060,0,[Fe/H],4.27,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h17m47.85s,19.4493823,+06d52m07.85s,6.8688469,635.7220000,13.4300000,-13.4300000,13.7440000,0.0920000,-0.0920000,11.9490000,0.0210000,-0.0210000,13.5039000,0.0003120,-0.0003120,2018-10-24,2018-12,2018-10-26
K2-114 b,K2-114,TIC 366576758,Gaia DR2 602494855483616256,1,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,11.39093100,0.00000310,-0.00000320,0,0.094400,0.001300,-0.001100,0,10.592,0.325,-0.314,0,0.945,0.029,-0.028,0,638.83510,38.13941,-38.13941,0,2.01000,0.12000,-0.12000,0,Mass,0.079000,0.030000,-0.030000,0,,,,,701,8,-8,0,0,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,,4899.00,59.00,-58.00,0,0.83,0.02,-0.02,0,0.86,0.04,-0.03,0,0.420,0.036,-0.037,0,[Fe/H],4.53,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h31m31.90s,127.8829120,+11d55m20.12s,11.9222550,475.7580000,8.2520000,-7.9800000,14.5500000,0.2170000,-0.2170000,12.3040000,0.0290000,-0.0290000,14.2751000,0.0003010,-0.0003010,2024-11-20,2023-04,2024-11-20
K2-115 b,K2-115,TIC 7020254,Gaia DR2 650778499868023296,1,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,20.27299140,0.00000500,-0.00000500,0,0.141500,0.002000,-0.002400,0,11.803,0.336,-0.314,0,1.053,0.030,-0.028,0,321.00669,69.92225,-73.10053,0,1.01000,0.22000,-0.23000,0,Mass,0.063000,0.061000,-0.042000,0,,,,,696,19,-15,0,0,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,,5870.00,170.00,-150.00,0,0.85,0.02,-0.02,0,0.92,0.04,-0.05,0,-0.198,0.043,-0.049,0,[Fe/H],4.54,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h26m12.84s,126.5535002,+12d16m54.66s,12.2818510,413.5910000,4.3120000,-4.2250000,13.4440000,0.1140000,-0.1140000,11.7240000,0.0180000,-0.0180000,13.2000000,0.0002520,-0.0002520,2024-11-20,2023-04,2024-11-20
K2-116 b,K2-116,TIC 39936432,Gaia DR2 2602406721431348096,1,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,4.65541100,0.00048600,-0.00047300,0,0.048000,0.002000,-0.002000,0,0.690,0.040,-0.040,0,0.062,0.004,-0.004,0,,,,,,,,,,0.060000,0.141966,-0.053272,0,78.60,12.20,-10.50,0,,,,,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,,4348.35,86.10,-87.78,0,0.67,0.03,-0.03,0,0.69,0.07,-0.07,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h24m36.56s,336.1523363,-11d34m45.55s,-11.5793181,49.3855000,0.1247000,-0.1240000,10.8000000,0.0300000,-0.0300000,7.8750000,0.0270000,-0.0270000,10.3281000,0.0010470,-0.0010470,2017-10-03,2017-11,2017-10-05
K2-117 b,K2-117,TIC 458686847,Gaia DR2 597829077890316928,1,1,2,Transit,2017,K2,Published Confirmed,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,1.29160000,0.00004900,-0.00005100,0,0.018900,0.000100,-0.000100,0,2.030,0.100,-0.100,0,0.181,0.009,-0.009,0,,,,,,,,,,,,,,,,,,868,14,-14,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,3778.00,53.00,-53.00,0,0.51,0.01,-0.01,0,0.54,0.01,-0.01,0,-0.050,0.130,-0.130,0,[Fe/H],4.75,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h55m25.38s,133.8557342,+10d28m09.18s,10.4692176,101.6320000,0.3740000,-0.3720000,14.6390000,0.1490000,-0.1490000,10.5890000,0.0250000,-0.0250000,13.8012000,0.0002430,-0.0002430,2018-10-24,2018-12,2018-10-26
